affiliation,keyword,ratio of articles that used this word
left_wing,true,0.003
left_wing,bluetooth,0.001
left_wing,hd,0.001
left_wing,35,0.001
left_wing,total,0.001
left_wing,macbook,0.001
left_wing,came,0.001
left_wing,earli,0.001
left_wing,ipad,0.001
left_wing,deal,0.001
left_wing,technolog,0.001
left_wing,screen,0.003
left_wing,appl,0.001
left_wing,video,0.007
left_wing,photo,0.003
left_wing,refurbish,0.001
left_wing,100,0.001
left_wing,z2,0.001
left_wing,life,0.001
left_wing,twice,0.001
left_wing,highend,0.001
left_wing,overear,0.001
left_wing,batteri,0.001
left_wing,ceptic,0.001
left_wing,adapt,0.001
left_wing,supercharg,0.001
left_wing,tablet,0.001
left_wing,socket,0.001
left_wing,plug,0.001
left_wing,power,0.003
left_wing,travel,0.001
left_wing,usb,0.001
left_wing,gadget,0.001
left_wing,old,0.003
left_wing,consol,0.001
left_wing,game,0.001
left_wing,favorit,0.001
left_wing,let,0.003
left_wing,900,0.001
left_wing,retro,0.001
left_wing,classic,0.001
left_wing,keep,0.001
left_wing,go2sleep,0.001
left_wing,insight,0.001
left_wing,sleep,0.003
left_wing,aipow,0.001
left_wing,offer,0.001
left_wing,rest,0.001
left_wing,manag,0.003
left_wing,team,0.003
left_wing,skill,0.001
left_wing,leadership,0.001
left_wing,improv,0.004
left_wing,drone,0.001
left_wing,remot,0.001
left_wing,ditch,0.001
left_wing,paper,0.001
left_wing,instead,0.001
left_wing,control,0.003
left_wing,smartphon,0.003
left_wing,airplan,0.001
left_wing,standard,0.003
left_wing,plane,0.001
left_wing,comfort,0.001
left_wing,queen,0.001
left_wing,hypoallergen,0.001
left_wing,luxuri,0.001
left_wing,4piec,0.001
left_wing,warm,0.001
left_wing,bamboo,0.001
left_wing,sheet,0.001
left_wing,conduct,0.001
left_wing,type,0.001
left_wing,materi,0.001
left_wing,phone,0.003
left_wing,connect,0.001
left_wing,glove,0.001
left_wing,touchscreen,0.001
left_wing,switch,0.001
left_wing,meross,0.001
left_wing,level,0.001
left_wing,voic,0.001
left_wing,wifi,0.001
left_wing,smart,0.001
left_wing,recharg,0.001
left_wing,aqua,0.001
left_wing,oral,0.001
left_wing,gum,0.001
left_wing,flosser,0.001
left_wing,5x,0.001
left_wing,better,0.001
left_wing,floss,0.001
left_wing,waterfuel,0.001
left_wing,rigiet,0.001
left_wing,shoot,0.001
left_wing,shot,0.001
left_wing,clear,0.001
left_wing,camera,0.001
left_wing,beauti,0.001
left_wing,gimbal,0.001
left_wing,file,0.001
left_wing,applic,0.001
left_wing,desktop,0.001
left_wing,parallel,0.001
left_wing,subscript,0.003
left_wing,train,0.001
left_wing,rewir,0.001
left_wing,kiss,0.001
left_wing,brain,0.001
left_wing,bad,0.001
left_wing,goodby,0.001
left_wing,habit,0.001
left_wing,neuroplast,0.001
left_wing,scienc,0.001
left_wing,hifidel,0.001
left_wing,muffl,0.001
left_wing,wont,0.001
left_wing,vibe,0.001
left_wing,earplug,0.001
left_wing,hear,0.001
left_wing,tank,0.001
left_wing,attach,0.001
left_wing,cord,0.001
left_wing,shark,0.001
left_wing,volum,0.001
left_wing,back,0.001
left_wing,forecast,0.001
left_wing,lifetim,0.003
left_wing,upcom,0.001
left_wing,kualto,0.001
left_wing,flow,0.001
left_wing,cash,0.001
left_wing,perfect,0.001
left_wing,qualiti,0.001
left_wing,airpod,0.001
left_wing,stereo,0.001
left_wing,run,0.001
left_wing,progress,0.001
left_wing,weight,0.001
left_wing,regard,0.001
left_wing,gain,0.001
left_wing,fight,0.001
left_wing,bodi,0.001
left_wing,analyz,0.001
left_wing,scale,0.001
left_wing,show,0.001
left_wing,hightech,0.001
left_wing,health,0.001
left_wing,fat,0.001
left_wing,watch,0.001
left_wing,look,0.001
left_wing,quartz,0.001
left_wing,breed,0.001
left_wing,80,0.003
left_wing,sale,0.001
left_wing,clock,0.001
left_wing,eleg,0.001
left_wing,holden,0.001
left_wing,protect,0.001
left_wing,safe,0.001
left_wing,onlin,0.001
left_wing,season,0.001
left_wing,vpn,0.003
left_wing,secur,0.001
left_wing,shop,0.001
left_wing,brush,0.001
left_wing,sonic,0.001
left_wing,electr,0.001
left_wing,head,0.001
left_wing,toothbrush,0.001
left_wing,uv,0.001
left_wing,base,0.001
left_wing,teeth,0.001
